id,diary_id,page_number,content_html,background_color,background_image_url,created_at
1e31a44a-6be5-44a4-be5f-6fa6e4ad5538,67c196bc-1822-4a69-85c4-125790cf3921,23,<div><br></div>,,,2025-10-15 02:07:35.689686+00
32648654-d31b-4e6f-8797-b02ea5e88779,8cd173d5-1763-4d0b-85ff-361d1fa5715b,1,,,"https://hhremqteoxliqkocxfvk.supabase.co/storage/v1/object/public/diary_images/8cd173d5-1763-4d0b-85ff-361d1fa5715b/cover-1759976091445-ChatGPT%20Image%209%20ott%202025,%2004_14_44.png",2025-10-09 02:14:53.197495+00
34c4dbc5-b17e-4681-8ab3-3a1a03f534e5,67c196bc-1822-4a69-85c4-125790cf3921,12,<div><br></div>,,,2025-10-15 02:07:32.047215+00
35de0083-0531-4ade-a710-fe5ba75c7f6a,67c196bc-1822-4a69-85c4-125790cf3921,24,<div>dsd<div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sdsdsdsdsdsdsdsdsdsds</div></div>,,,2025-10-15 02:07:35.920942+00
37045b79-7b36-4f4a-9822-a927f1eb1843,67c196bc-1822-4a69-85c4-125790cf3921,17,<div><br></div>,,,2025-10-15 02:07:33.050656+00
3744590d-97eb-4e33-94e0-e1803637e4b7,67c196bc-1822-4a69-85c4-125790cf3921,11,<div><br></div>,,,2025-10-15 02:07:31.708417+00
39fd2673-3838-4afb-9f9c-e613256372bc,67c196bc-1822-4a69-85c4-125790cf3921,9,<div><br></div>,,,2025-10-15 02:07:30.094027+00
4049c56f-9cbd-462b-a3e8-eae65e91a0cd,67c196bc-1822-4a69-85c4-125790cf3921,13,<div><br></div>,,,2025-10-15 02:07:32.294184+00
49fa7ebf-f27b-4f37-9d3c-021feb657718,67c196bc-1822-4a69-85c4-125790cf3921,25,<div>dsd<div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sd</div><div>sdsdsdsdsdsdsdsdsdsds</div></div><div><br></div>,,,2025-10-15 13:00:22.887188+00
60fcc4db-46de-4e31-bb4c-a0bb0c967596,67c196bc-1822-4a69-85c4-125790cf3921,21,"<div>&nbsp; // Evita l'errore 'base is not defined' e delega lo stile per-pagina sotto&nbsp; const computedPageStyle: React.CSSProperties = pageStyle;<br>&nbsp; function getComputedPageStyle(p: DiaryPage): React.CSSProperties {&nbsp; &nbsp; const base: React.CSSProperties = { ...pageStyle };&nbsp; &nbsp; const img = p?.background_image_url || null;&nbsp; &nbsp; const colorOrMeta = p?.background_color || null;<br>&nbsp; &nbsp; if (img) {&nbsp; &nbsp; &nbsp; let size = 100;&nbsp; &nbsp; &nbsp; let position = 'center';&nbsp; &nbsp; &nbsp; const raw = String(colorOrMeta || '').trim();&nbsp; &nbsp; &nbsp; if (raw.startsWith('{')) {&nbsp; &nbsp; &nbsp; &nbsp; try {&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; const meta = JSON.parse(raw);&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; size = typeof meta.size === 'number' ? meta.size : 100;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; position = typeof meta.position === 'string' ? meta.position : 'center';&nbsp; &nbsp; &nbsp; &nbsp; } catch {}&nbsp; &nbsp; &nbsp; }&nbsp; &nbsp; &nbsp; base.backgroundImage = `url('${img}')`;&nbsp; &nbsp; &nbsp; base.backgroundSize = `${size}%`;&nbsp; &nbsp; &nbsp; base.backgroundPosition = position;&nbsp; &nbsp; &nbsp; base.backgroundRepeat = 'no-repeat';&nbsp; &nbsp; } else if (colorOrMeta) {&nbsp; &nbsp; &nbsp; const raw = String(colorOrMeta).trim();&nbsp; &nbsp; &nbsp; if (raw.startsWith('{')) {&nbsp; &nbsp; &nbsp; &nbsp; try {&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; const meta = JSON.parse(raw);&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; base.backgroundColor = meta.color ?? '#ffffff';&nbsp; &nbsp; &nbsp; &nbsp; } catch {&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; base.backgroundColor = raw;&nbsp; &nbsp; &nbsp; &nbsp; }&nbsp; &nbsp; &nbsp; } else {&nbsp; &nbsp; &nbsp; &nbsp; base.backgroundColor = raw;&nbsp; &nbsp; &nbsp; }&nbsp; &nbsp; }&nbsp; &nbsp; base.padding = `${globalMargins.top}mm ${globalMargins.right}mm ${globalMargins.bottom}mm ${globalMargins.left}mm`;&nbsp; &nbsp; return base;&nbsp; }<!--EndFragment-->

<div>dvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvdvdvdvdvdvdvdvdvvvvvdddvdvdvdsdssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssù</div><div>sddssdsdsdsdsdsdsdsdsdsdsdsdsdsdsds</div></div>",,,2025-10-15 02:07:34.228003+00
