id,user_id,item_id,collected_at
02f7540d-4b96-406b-920c-2d68e0b9b85b,479ab18e-0df5-418a-86fd-6ffc4791250a,b95186e1-151c-4a52-9190-600389966f64,2025-09-12 13:57:47.271329+00
075d6b19-a83a-4796-8cbe-ad28660c40da,479ab18e-0df5-418a-86fd-6ffc4791250a,88012204-7d53-4d89-9834-aa1b31cfd1e8,2025-09-07 01:59:23.859931+00
09463991-817b-4fec-beaf-86a88e2ffca8,479ab18e-0df5-418a-86fd-6ffc4791250a,9231652c-d1fd-4a3f-a0a8-2a5141a7e7f3,2025-10-21 23:55:40.145791+00
0a783371-bc4d-4879-9f9e-035a17bfaec7,3412d139-66a7-49da-88c3-ff2e901b5939,e00d9098-df89-49b9-931e-1806b55ec317,2025-10-23 13:55:56.694073+00
15f0968a-a23b-4961-ad9f-342d4ec23aa1,c07b25a1-6eee-40e4-a82f-8e136adc370a,58727b59-3540-498b-83dc-96c4434f3e05,2025-10-22 06:24:24.166957+00
16840a3b-9951-44d9-9315-15fbe1853b2f,479ab18e-0df5-418a-86fd-6ffc4791250a,93e35614-af8e-4477-af5e-c121a44d7a57,2025-09-12 13:44:05.758986+00
19c1366a-9952-4f26-817c-83c88e1cbc26,479ab18e-0df5-418a-86fd-6ffc4791250a,a667531b-be1f-424f-8574-d73827e44a06,2025-09-11 02:12:24.744845+00
1a673934-5538-47de-9938-c2d51ccd79d2,fa887657-c7b7-48f6-b6c7-d90c018cf9b0,31dbca3a-8049-494f-8ae5-03da1d302fac,2025-10-21 21:54:17.871962+00
2b906e34-78d8-4ecc-aac1-f3196121e1f6,479ab18e-0df5-418a-86fd-6ffc4791250a,e340a385-1010-4a6a-a3a1-dd2ab04a9217,2025-10-21 23:55:46.167506+00
396c55a2-124f-494d-a82c-a254c07d65d4,01c60b7f-0c13-4fb6-a03e-50f7f252458d,6b8887ed-65c5-4cf5-8cfe-47abd28d4e85,2025-09-14 13:57:27.122037+00
3e9fffb1-bb4d-4197-8264-d88e78f1d3d7,3412d139-66a7-49da-88c3-ff2e901b5939,134fb976-4bc4-4b5b-ae3c-141030e7cd1a,2025-09-21 19:00:24.13076+00
